tweetDate,content,twitterProfile,tweetUrl,timestamp,query
Sat Apr 01 22:34:33 +0000 2023,Canadian Navy offers no strings attached program amid recruitment woes – National #CanadianNavy #Navy #Canada #CanadaNews #Canadian [Video] https://t.co/RE1qkNP8O3,https://twitter.com/HandlerCND,https://twitter.com/HandlerCND/status/1642294407729913856,2023-04-02T00:02:27.854Z,canadiannavy
Fri Mar 31 14:22:34 +0000 2023,Bewverly Saftig #CanadianNavy #Navy #Military #Canada #CanadaNews [Video] https://t.co/W5D3igmOfh,https://twitter.com/SamuelsCND,https://twitter.com/SamuelsCND/status/1641808205801213952,2023-04-02T00:02:27.854Z,canadiannavy
Sat Feb 11 22:25:46 +0000 2023,Due to lack of #CanadianNavy Relic from the #Beachcombers will pick up the remains of the shot down object over #CanadaNorth #Yukon #NorthernCanada #Norad #canadianTerritory https://t.co/SRnygPKjBC,https://twitter.com/TerryToll,https://twitter.com/TerryToll/status/1624535190574977026,2023-04-02T00:02:27.854Z,canadiannavy
Wed Mar 08 17:16:48 +0000 2023,"Welcome to Port Alberni Terminals, @HMCSOTTAWA   and @HMCSWinnipeg ! We're excited to have you here and look forward to working together. 🚢 #PortAlberni #HMCSOttawa #HMCSWinnipeg #CanadianNavy https://t.co/H8DaQhRq8M",https://twitter.com/PAPortAuthority,https://twitter.com/PAPortAuthority/status/1633517131978645505,2023-04-02T00:02:27.854Z,canadiannavy
Sat Apr 01 22:34:35 +0000 2023,Canadian Navy offers no strings attached program amid recruitment woes – National #CanadianNavy #Navy #Canada #CanadaNews #Canadian [Video] https://t.co/wzHgvMLJPS,https://twitter.com/SamuelsCND,https://twitter.com/SamuelsCND/status/1642294415615234048,2023-04-02T00:02:27.854Z,canadiannavy
Wed Sep 01 17:22:15 +0000 2021,"If you or a loved one are a survivor of sexual assault in the military, know that confidential &amp; anonymous support is available. Read more about the Safe Helpline team and types of support available today at https://t.co/rNa50ZNG75.",https://twitter.com/RAINN,https://twitter.com/RAINN/status/1433118016288526345,2023-04-02T00:02:27.854Z,canadiannavy
Thu Jan 12 16:56:57 +0000 2023,A proper Military send-off for my best friend and decorated Canadian War Hero Patrick Moulden. RIP brotha. #militaryfuneral #hero #clearancediver #bombdiffuser #haf #canadiannavy #medalofbravery #rip #bagpipes https://t.co/gQOoKGW9nr,https://twitter.com/bondzeelive,https://twitter.com/bondzeelive/status/1613580806357749769,2023-04-02T00:02:27.854Z,canadiannavy
Tue Feb 28 21:30:21 +0000 2023,"We're sending a huge thank you to our #ShipTechForum 2023 Supporting Sponsors -  @WoundWarriorCA @navalassn @CGExec  @AbcmiNews @CDNShipbuilders @SNAME_HQ 
 🇨🇦

#ShipTech #CanadianNavy https://t.co/7sVJcsoDxb",https://twitter.com/VanguardMag,https://twitter.com/VanguardMag/status/1630681837461708801,2023-04-02T00:02:27.854Z,canadiannavy
Sat Jan 14 20:09:29 +0000 2023,The Irving's are messing up Canadian naval ships and then charging taxpayers for the repairs #irvingfamily #newbrunswick #canadiannavy #caf #canadianarmedforces #frankdomenic🍁 #canpoliTT #greenscreen https://t.co/16gKyZwrDw,https://twitter.com/TheFrankDomenic,https://twitter.com/TheFrankDomenic/status/1614354033753325569,2023-04-02T00:02:27.854Z,canadiannavy
Fri Mar 31 14:20:34 +0000 2023,Bewverly Saftig #CanadianNavy #Navy #Military #Canada #CanadaNews [Video] https://t.co/LmZfumlTyA,https://twitter.com/HandlerCND,https://twitter.com/HandlerCND/status/1641807704724508672,2023-04-02T00:02:27.854Z,canadiannavy
